-- STATISTICS --

Step: A-3: total number of steps-> 519, mean duration-> 0.49723113s
Step: E-4: total number of steps-> 542, mean duration-> 0.505323s
Step: A-4: total number of steps-> 3, mean duration-> 0.21179879s


-- DETAILED --


Step A-3: @284.16666, 0.34375s
Step E-4: @284.71875, 0.3333435s
Step A-3: @285.25, 0.3333435s
Step E-4: @285.8021, 0.2291565s
Step A-3: @286.3229, 0.3125s
Step E-4: @286.85416, 0.354187s
Step A-3: @287.39584, 0.34375s
Step E-4: @287.95834, 0.23956299s
Step A-3: @288.4896, 0.1979065s
Step E-4: @289.0104, 0.3020935s
Step A-3: @289.54166, 0.3020935s
Step E-4: @290.0729, 0.34375s
Step A-3: @290.6146, 0.333313s
Step E-4: @291.15625, 0.34375s
Step A-3: @291.6875, 0.3645935s
Step E-4: @292.2396, 0.34375s
Step A-3: @292.79166, 0.3125s
Step E-4: @293.3229, 0.354187s
Step A-3: @293.875, 0.34375s
Step E-4: @294.41666, 0.34375s
Step A-3: @294.96875, 0.2916565s
Step E-4: @295.5, 0.3229065s
Step A-3: @296.0521, 0.1979065s
Step E-4: @296.58334, 0.3854065s
Step A-3: @297.1354, 0.34375s
Step E-4: @297.66666, 0.3125s
Step A-3: @298.20834, 0.3229065s
Step E-4: @298.7604, 0.34375s
Step A-3: @299.29166, 0.34375s
Step E-4: @299.83334, 0.333313s
Step A-3: @300.3646, 0.34375s
Step E-4: @300.90625, 0.3333435s
Step A-3: @301.4479, 0.322937s
Step E-4: @301.9896, 0.333313s
Step A-3: @302.52084, 0.302063s
Step E-4: @303.0521, 0.333313s
Step A-3: @303.58334, 0.3229065s
Step E-4: @304.1354, 0.2708435s
Step A-3: @304.65625, 0.3333435s
Step E-4: @305.1875, 0.3125s
Step A-3: @305.71875, 0.28125s
Step E-4: @306.25, 0.3229065s
Step A-3: @306.77084, 0.302063s
Step E-4: @307.3125, 0.3333435s
Step A-3: @307.84375, 0.3020935s
Step E-4: @308.375, 0.3229065s
Step A-3: @308.91666, 0.291687s
Step E-4: @309.4479, 0.354187s
Step A-3: @309.97916, 0.354187s
Step E-4: @310.52084, 0.333313s
Step A-3: @311.0521, 0.34375s
Step E-4: @311.58334, 0.34375s
Step A-3: @312.125, 0.3333435s
Step E-4: @312.64584, 0.333313s
Step A-3: @313.1875, 0.34375s
Step E-4: @313.72916, 0.322937s
Step A-3: @314.25, 0.3125s
Step E-4: @314.79166, 0.3125s
Step A-3: @315.3229, 0.34375s
Step E-4: @315.875, 0.3333435s
Step A-3: @316.39584, 0.333313s
Step E-4: @316.9375, 0.3125s
