-- STATISTICS --

Step: A-3: total number of steps-> 478, mean duration-> 0.39548445s
Step: E-4: total number of steps-> 513, mean duration-> 0.42028126s
Step: A-4: total number of steps-> 3, mean duration-> 0.20834012s


-- DETAILED --


Step E-4: @288.97916, 0.2708435s
Step A-3: @289.4896, 0.28125s
Step E-4: @290.0, 0.2916565s
Step A-3: @290.52084, 0.3125s
Step E-4: @291.03125, 0.2916565s
Step A-3: @291.54166, 0.3125s
Step E-4: @292.0625, 0.25s
Step A-3: @292.54166, 0.3125s
Step E-4: @293.0625, 0.2916565s
Step A-3: @293.5729, 0.291687s
Step E-4: @294.08334, 0.2916565s
Step A-3: @294.60416, 0.25s
Step E-4: @295.10416, 0.322937s
Step A-3: @295.625, 0.2604065s
Step E-4: @296.1354, 0.3020935s
Step A-3: @296.65625, 0.28125s
Step E-4: @297.16666, 0.291687s
Step A-3: @297.6875, 0.2395935s
Step E-4: @298.1979, 0.2708435s
Step A-3: @298.6979, 0.28125s
Step E-4: @299.1979, 0.28125s
Step A-3: @299.6979, 0.3020935s
Step E-4: @300.20834, 0.3125s
Step A-3: @300.71875, 0.2916565s
Step E-4: @301.22916, 0.3020935s
Step A-3: @301.72916, 0.3125s
Step E-4: @302.2396, 0.3125s
Step A-3: @302.7604, 0.3020935s
Step E-4: @303.27084, 0.2916565s
Step A-3: @303.78125, 0.3020935s
Step E-4: @304.3125, 0.28125s
Step A-3: @304.8021, 0.3125s
Step E-4: @305.3021, 0.34375s
Step A-3: @305.83334, 0.28125s
Step E-4: @306.33334, 0.3229065s
Step A-3: @306.85416, 0.25s
Step E-4: @307.35416, 0.3333435s
Step A-3: @307.875, 0.3125s
Step E-4: @308.39584, 0.302063s
Step A-3: @308.91666, 0.28125s
Step E-4: @309.4375, 0.2916565s
Step A-3: @309.9375, 0.3020935s
Step E-4: @310.4479, 0.28125s
Step A-3: @310.95834, 0.28125s
Step E-4: @311.46875, 0.3229065s
Step A-3: @311.97916, 0.3020935s
Step E-4: @312.5, 0.3125s
Step A-3: @313.0104, 0.291687s
Step E-4: @313.52084, 0.3125s
Step A-3: @314.03125, 0.3229065s
Step E-4: @314.5521, 0.3125s
Step A-3: @315.0729, 0.3020935s
Step E-4: @315.59375, 0.3125s
Step A-3: @316.10416, 0.3020935s
Step E-4: @316.625, 0.3125s
Step A-3: @317.14584, 0.3125s
Step E-4: @317.65625, 0.3229065s
Step A-3: @318.1875, 0.3229065s
Step E-4: @318.71875, 0.3229065s
Step A-3: @319.22916, 0.322937s
Step E-4: @319.7604, 0.3020935s
Step A-3: @320.27084, 0.3125s
Step E-4: @320.78125, 0.3020935s
Step A-3: @321.29166, 0.260437s
Step E-4: @321.8021, 0.333313s
Step A-3: @322.3125, 0.3125s
Step E-4: @322.83334, 0.2916565s
Step A-3: @323.33334, 0.2916565s
Step E-4: @323.84375, 0.3125s
Step A-3: @324.3646, 0.2604065s
Step E-4: @324.875, 0.3125s
Step A-3: @325.39584, 0.2916565s
Step E-4: @325.91666, 0.3020935s
Step A-3: @326.4375, 0.3125s
Step E-4: @326.95834, 0.2604065s
Step A-3: @327.46875, 0.3020935s
Step E-4: @327.9896, 0.3125s
Step A-3: @328.5, 0.3125s
Step E-4: @329.02084, 0.3125s
Step A-3: @329.54166, 0.3020935s
Step E-4: @330.0625, 0.3229065s
Step A-3: @330.58334, 0.302063s
Step E-4: @331.1146, 0.302063s
Step A-3: @331.64584, 0.28125s
Step E-4: @332.14584, 0.302063s
Step A-3: @332.64584, 0.302063s
Step E-4: @333.15625, 0.3333435s
Step A-3: @333.66666, 0.3125s
Step E-4: @334.1875, 0.25s
Step A-3: @334.6875, 0.3020935s
Step E-4: @335.20834, 0.2916565s
Step A-3: @335.72916, 0.2708435s
Step E-4: @336.2396, 0.28125s
Step A-3: @336.75, 0.28125s
Step E-4: @337.27084, 0.3125s
Step A-3: @337.79166, 0.291687s
Step E-4: @338.3021, 0.302063s
Step A-3: @338.8125, 0.25s
Step E-4: @339.34375, 0.3125s
Step A-3: @339.85416, 0.3125s
Step E-4: @340.3646, 0.302063s
Step A-3: @340.8854, 0.3020935s
Step E-4: @341.39584, 0.270813s
Step A-3: @341.91666, 0.3020935s
Step E-4: @342.41666, 0.291687s
Step A-3: @342.9375, 0.2916565s
Step E-4: @343.4479, 0.3125s
Step A-3: @343.96875, 0.2395935s
Step E-4: @344.47916, 0.3125s
Step A-3: @345.0104, 0.2395935s
Step E-4: @345.52084, 0.270813s
Step A-3: @346.03125, 0.2916565s
Step E-4: @346.54166, 0.291687s
